# Absorption spectrum
# exc. energy / eV    osc. strength
4.88924480616481     0.06076708990896
4.94777997449484     0.00000296464804
4.94895437514547     0.00000000000001
4.95024063611488     0.00000000000128
4.95041575571823     0.00000164583914
4.95205449280766     0.00000000088878
4.95211950416532     0.00001212598637
4.95268389452675     0.00002536716126
4.95298196061814     0.00000000002703
4.95336633248911     0.00000000011018
4.95372597988401     0.00000651631439
4.95438986163661     0.00000000005250
4.95452589147001     0.00012107225900
4.95525294487557     0.00002973622479
4.95685275872083     0.00000000004860
4.95758138454046     0.00000000000937
4.95809688660176     0.00000000039994
4.95831070184432     0.00012230224765
4.95874407615193     0.00002145167654
4.95969231857899     0.00001330303534
4.96058019206580     0.00001641006383
4.96185880416387     0.00000000278110
4.96192278938040     0.00005263736605
4.96242090823209     0.00000000006887
4.96373941434485     0.00001411497063
4.96471557718186     0.00000000000553
4.96587261289634     0.00000000000056
4.96670126019315     0.00007775757446
4.96746221044696     0.00000000004423
4.96835470078299     0.00000251842315
4.96938558478397     0.00000000000016
4.96977730272088     0.00004495416883
4.97146012007999     0.00000000002717
4.97189644935772     0.00001509064873
4.97220403685580     0.00000000003884
4.97459961326082     0.00000718558524
4.97531578482440     0.00000000000105
4.97599775769069     0.00000000000799
4.97658039261673     0.00000671980043
4.97786293693103     0.00000000000183
4.97799846779206     0.00000053244730
4.97837598889293     0.00000008189281
4.97847509078508     0.00000000000004
4.97939685045854     0.00000000000004
4.97987094738274     0.00000000000030
4.98041556077906     0.00000003242132
4.98077023981803     0.00000155012283
4.98202805356886     0.00000000000058
4.98274431674245     0.00000304202754
4.98339989957978     0.00000045865377
4.98397685400689     0.00000000000039
4.98508613163046     0.00000000000055
4.98568083566791     0.00000241518575
4.98620263956381     0.00000000000043
4.98655228312123     0.00000118320102
4.98745184208826     0.00000000001699
4.98793543849636     0.00001162427001
4.98803458572770     0.00000000003689
4.98921788848673     0.00000000008801
4.98956683418795     0.00003497342176
4.99022199862688     0.00000000000032
4.99071546757760     0.00001784195663
4.99232812413499     0.00000001523092
4.99233435840322     0.00006307156937
4.99294776079409     0.00009755531406
4.99345327369741     0.00036927511760
4.99394766972515     0.00000000000579
4.99426089088439     0.00000000012961
4.99476478638222     0.00000000980930
4.99505638275607     0.00000000011080
4.99560350051715     0.00002383043564
4.99607275820858     0.00004854670488
4.99617078068867     0.00000000000418
4.99770052349023     0.00000000019429
4.99823120138398     0.00010280110046
4.99826957502396     0.00000007038884
4.99918548363639     0.00000963513986
5.00025459445572     0.00000000486510
5.00028400739418     0.00003235466585
5.00154588673478     0.00000000002701
5.00224957791301     0.00001027499581
5.00370685976757     0.00003589823064
5.00551213330042     0.00000000000262
5.00779430485840     0.00000000000084
5.00954444948495     0.00000000000136
5.01039057242973     0.00000150976350
5.01041956167417     0.00000000004333
5.01062149175506     0.00000405923562
5.01119370105212     0.00000153320609
5.01119507150400     0.00000000078899
5.01181047122330     0.00000054673260
5.01290714621614     0.00000415057941
5.01328325798646     0.00000000000014
5.01405010020087     0.00003182951591
5.01422054060323     0.00000000000886
5.01472235640039     0.00000000012399
5.01481453273977     0.00000579198738
5.01545126749687     0.00021011200503
5.01581846007422     0.00000000000337
5.01678386271920     0.00000012803558
5.01679056939084     0.00005967330076
5.01768255994660     0.00000000001416
5.01817231707438     0.00001447890000
5.01877308021069     0.00000000000123
5.01962738026365     0.00016532778717
5.02058469363403     0.00000608639053
5.02086323114883     0.00000000022755
5.02360142098351     0.00000000001302
5.02412247103467     0.00000629470757
5.02449981111348     0.00000028433652
5.02463237572123     0.00000000000770
5.02643720703836     0.00000000001258
5.02697008089108     0.00000267487430
5.02844628904294     0.00000000000441
5.02911979428746     0.00000003808401
5.02933650584959     0.00000000000046
5.03057255348988     0.00000256881276
5.03164190079205     0.00000000000354
5.03190633065176     0.00000758620795
5.03312046091942     0.00000000002815
5.03329646567894     0.00000176224923
5.03405209315078     0.00000000000247
5.03418888097050     0.00000002398850
5.03450776424849     0.00000952029162
5.03532886709706     0.00000000000029
5.03589641879222     0.00000000000008
5.03681533411764     0.00000000000125
5.03709375496008     0.00000151746892
5.03741965913495     0.00000000000132
5.03779536032746     0.00000089207166
5.03868688056630     0.00000000000686
5.03876253287659     0.00000156762222
5.03929958624819     0.00000000000210
5.03976147981183     0.00000771862711
5.03996414506611     0.00000000005365
5.04071883888801     0.00000000000158
5.04122915613424     0.00000435887691
5.04165650996014     0.00003045264854
5.04213352500967     0.00002507269683
5.04335153576974     0.00000000003373
5.04357203448054     0.00006768298710
5.04476908937192     0.00002554678375
5.04487232344991     0.00000000015659
5.04519340102653     0.00000009336747
5.04656562890957     0.00000000000885
5.04709189405265     0.00000000000088
5.04729291055792     0.00000319239123
5.04801082757033     0.00000000000128
5.04842815095940     0.00000238100365
5.04882397411747     0.00000005337363
5.04886958418609     0.00000000000327
5.04909433131387     0.00000000000054
5.04940656175464     0.00000000000002
5.04972160087046     0.00000027558722
5.04979560785288     0.00000000000593
5.05079717380176     0.00000000698439
5.05079945247294     0.00000053678431
5.05139362771558     0.00000006058048
5.05196224763343     0.00000003643380
5.05245059547598     0.00000000000198
5.05331662751810     0.00000093627574
5.05367887671335     0.00000000000955
5.05374077944328     0.00000713583699
5.05455171096274     0.00000004368386
5.05481527432214     0.00000000003753
5.05502650007038     0.00000595856463
5.05521194359789     0.00000000000184
5.05576699844353     0.00000062943637
5.05603408187093     0.00000000000018
5.05670372879230     0.00000000000038
5.05679097786129     0.00000070721140
5.05760296709439     0.00000005575680
5.05780796918116     0.00000000000037
